"clusterIndex","variants","clusterLocationsSummary","clusterKnownSpellingsSummary","Atlantische kust","Beneden-Commewijne","Beneden-Saramacca","Booms Kreek","Boven-Commewijne","Boven-Cottica","Boven-Saramacca","Cassewinicakreek","Commetewane Kreek","Coropina Kreek","Cottica","Jonkermans Kreek","Marechals Kreek","Matappica Kreek","Mot Kreek","Nickerierivier","Orelana Kreek","Pad van Wanica","Para Kreek","Paramarica Kreek","Pararak Kreek","Pararakweg","Paulus Kreek","Perica Kreek","Rijweg naar Kwatta","Saramacca","Suriname","Surnaus Kreek","Tapoeripa Kreek","Tawayarie Kreek","Tawaycoera Kreek","Vredenburger Kreek","Wanica Kreek","Warappa Kreek","Wayamoe Kreek","variantCount","recordCount"
"1","Aan de Vier Kinderen | Aan De Vier Kinderen | De Twee Kinderen | De Vier Kinderen | De Zes Kinderen | Vier Kinderen","Boven-Commewijne | Coropina Kreek | Pad van Wanica | Suriname | Tawaycoera Kreek","Aan de Vier Kinderen | Aan De Vier Kinderen | De Twee Kinderen | De Vier Kinderen | De Zes Kinderen | Vier Kinderen","","","","","stm-01184 (De Vier Kinderen)","","","","","stm-01491 (De Vier Kinderen)","","","","","","","","stm-02237 (Vier Kinderen)","","","","","","","","","stm-00543 (De Twee Kinderen)","","","","stm-01508 (Aan de Vier Kinderen); stm-01909 (Aan de Vier Kinderen); stm-01509 (Aan De Vier Kinderen); stm-01515 (Aan De Vier Kinderen)","","","","","6","11"
"2","Aan Onoribo","Para Kreek | Pararakweg","Aan Onoribo","","","","","","","","","","","","","","","","","","","stm-01315 (Aan Onoribo)","","","stm-01297 (Aan Onoribo); stm-01304 (Aan Onoribo); stm-01310 (Aan Onoribo)","","","","","","","","","","","","","","1","6"
"3","Abigael's lust | Abigail's lust","Pad van Wanica | Warappa Kreek","Abigael's lust | Abigail's lust","","","","","","","","","","","","","","","","","","stm-01380 (Abigael's lust)","","","","","","","","","","","","","","","","stm-00705 (Abigail's lust)","","2","2"
"4","Adrichem","Matappica Kreek | Suriname","Adrichem","","","","","","","","","","","","","","stm-00597 (Adrichem)","","","","","","","","","","","","","stm-01856 (Adrichem)","","","","","","","","","1","2"
"5","Anna Catharina | Johanna Catharina","Beneden-Saramacca | Matappica Kreek","Anna Catharina | Johanna Catharina","","","stm-00936 (Johanna Catharina); stm-00943 (Johanna Catharina); stm-01672 (Johanna Catharina)","","","","","","","","","","","stm-00615 (Anna Catharina)","","","","","","","","","","","","","","","","","","","","","","2","4"
"6","Anna's Lust | Anna's rust","Pad van Wanica | Tapoeripa Kreek","Anna's Lust | Anna's rust | Anna's rust en Haast u langzaam","","","","","","","","","","","","","","","","","","stm-02238 (Anna's Lust)","","","","","","","","","","","stm-00814 (Anna's rust)","","","","","","","2","2"
"7","Berg op Zoom | Bergen op Zoom","Boven-Commewijne | Jonkermans Kreek | Marechals Kreek | Suriname","Berg op Zoom | Bergen op Zoom","","","","","stm-02447 (Bergen op Zoom)","","","","","","","stm-02278 (Berg op Zoom)","stm-02162 (Bergen op Zoom)","","","","","","","","","","","","","","stm-01901 (Bergen op Zoom)","","","","","","","","","2","4"
"8","Berkshoven | Kerkshoven","Boven-Commewijne | Warappa Kreek","Berkshoven | Kerkshoven","","","","","stm-01013 (Berkshoven)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stm-00599 (Kerkshoven)","","2","2"
"9","Berlijn","Beneden-Commewijne | Para Kreek","Berlijn","","stm-00658 (Berlijn)","","","","","","","","","","","","","","","","","stm-01525 (Berlijn)","","","","","","","","","","","","","","","","","1","2"
"10","Bigrar","Jonkermans Kreek | Marechals Kreek | Suriname","Bigrar","","","","","","","","","","","","stm-02494 (Bigrar)","stm-00887 (Bigrar); stm-01443 (Bigrar)","","","","","","","","","","","","","","stm-00524 (Bigrar)","","","","","","","","","1","4"
