similarity,name1,name2,totalCount,stmId,plantationName,locationDescription,district
1.000,"De goede verwachting","De Goede verwachting",2,stm-01776,"De goede verwachting","Beneden-Saramacca","Divisie Saramacca"
1.000,"De goede verwachting","De Goede verwachting",2,stm-00820,"De Goede verwachting","Mot Kreek","Divisie Boven-Cottica en Perica"
1.000,"De goede verwachting","De Goede Verwachting",3,stm-01776,"De goede verwachting","Beneden-Saramacca","Divisie Saramacca"
1.000,"De goede verwachting","De Goede Verwachting",3,stm-00716,"De Goede Verwachting","Mot Kreek","Divisie Boven-Cottica en Perica"
1.000,"De goede verwachting","De Goede Verwachting",3,stm-01388,"De Goede Verwachting","Wanica Kreek","Divisie Saramacca"
1.000,"De Goede verwachting","De Goede Verwachting",3,stm-00820,"De Goede verwachting","Mot Kreek","Divisie Boven-Cottica en Perica"
1.000,"De Goede verwachting","De Goede Verwachting",3,stm-00716,"De Goede Verwachting","Mot Kreek","Divisie Boven-Cottica en Perica"
1.000,"De Goede verwachting","De Goede Verwachting",3,stm-01388,"De Goede Verwachting","Wanica Kreek","Divisie Saramacca"
1.000,"De vrede","De Vrede",3,stm-01197,"De vrede","",""
1.000,"De vrede","De Vrede",3,stm-01122,"De Vrede","Boven-Cottica","Divisie Boven-Cottica en Perica"
1.000,"De vrede","De Vrede",3,stm-01535,"De Vrede","Para Kreek","Divisie Para"
1.000,"Haast u langzaam","Haast U Langzaam",2,stm-00813,"Haast u langzaam","Tapoeripa Kreek",""
1.000,"Haast u langzaam","Haast U Langzaam",2,stm-02383,"Haast U Langzaam","Boven-Saramacca","Divisie Saramacca"
1.000,"l'Esperance","L'Esperance",3,stm-01021,"l'Esperance","Boven-Commewijne","Divisie Boven-Commewijne"
1.000,"l'Esperance","L'Esperance",3,stm-01288,"L'Esperance","Para Kreek","Divisie Para"
1.000,"l'Esperance","L'Esperance",3,stm-01439,"L'Esperance","Suriname","Divisie Boven-Suriname en Thorarica"
1.000,"Maria's lust","Maria's Lust",5,stm-00831,"Maria's lust","Tapoeripa Kreek","Divisie Matapplea"
1.000,"Maria's lust","Maria's Lust",5,stm-00870,"Maria's lust","Boven-Saramacca","Divisie Saramacca"
1.000,"Maria's lust","Maria's Lust",5,stm-01704,"Maria's lust","Boven-Saramacca","Divisie Saramacca"
1.000,"Maria's lust","Maria's Lust",5,stm-01928,"Maria's lust","Boven-Saramacca","Divisie Saramacca"
1.000,"Maria's lust","Maria's Lust",5,stm-02396,"Maria's Lust","Wanica Kreek","Divisie Saramacca"
1.000,"Nieuw weergevonden","Nieuw Weergevonden",2,stm-01390,"Nieuw weergevonden","Pad van Wanica","Divisie Para"
1.000,"Nieuw weergevonden","Nieuw Weergevonden",2,stm-01861,"Nieuw Weergevonden","Surnaus Kreek","Divisie Boven-Suriname en Thorarica"
1.000,"Nooit gedacht","Nooit Gedacht",3,stm-01932,"Nooit gedacht","Saramacca",""
1.000,"Nooit gedacht","Nooit Gedacht",3,stm-02395,"Nooit Gedacht","Wanica Kreek","Divisie Saramacca"
1.000,"Nooit gedacht","Nooit Gedacht",3,stm-02493,"Nooit Gedacht","Suriname","Divisie Boven-Suriname en Thorarica"
0.955,"Flammenburg (Land van)","Vlammenburg (Land van)",2,stm-02176,"Flammenburg (Land van)","Boven-Commewijne",""
0.955,"Flammenburg (Land van)","Vlammenburg (Land van)",2,stm-02209,"Vlammenburg (Land van)","Cassewinicakreek","Divisie Boven-Commewijne"
0.952,"Heystvliet (Land van)","Heysvliet (Land van)",2,stm-02313,"Heystvliet (Land van)","Suriname","Divisie Boven-Suriname en Thorarica"
0.952,"Heystvliet (Land van)","Heysvliet (Land van)",2,stm-02122,"Heysvliet (Land van)","Suriname",""
0.950,"Toledo en Nieuw-rust","Toledo en Nieuwrust",2,stm-02130,"Toledo en Nieuw-rust","Suriname",""
0.950,"Toledo en Nieuw-rust","Toledo en Nieuwrust",2,stm-02439,"Toledo en Nieuwrust","Suriname","Divisie Boven-Suriname en Thorarica"
0.929,"Abigael's lust","Abigail's lust",2,stm-01380,"Abigael's lust","Pad van Wanica","Divisie Para"
0.929,"Abigael's lust","Abigail's lust",2,stm-00705,"Abigail's lust","Warappa Kreek","Divisie Beneden-Cottica"
