item,itemLabel,country,countryLabel,writing,writingType,lang
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Мерзорг,label,bg
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,ca
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,ceb
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,de
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,en
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,es
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,میرزگ,label,fa
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,fr
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,frr
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,ga
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,it
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,ミーアゾーグ,alias,ja
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,メールゾルグ,label,ja
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Мэрзорг,label,mdf
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,മീർസോർഗ്,label,ml
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meersorgh,alias,nl
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg (plantage),alias,nl
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,nl
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,pl
http://www.wikidata.org/entity/Q1018882,Meerzorg,http://www.wikidata.org/entity/Q730,Suriname,Meerzorg,label,pt
