"ID_plantation","Name_plantation","Serie1_number_enslaved","Serie2_number_enslaved","Serie3_number_enslaved","Serie4_number_enslaved","Serie1_Status","Serie2_Status","Serie3_Status","Serie4_Status","StartYear","EndYear","Start_remarks","Start_date","End_remarks","End_date","District_1842","District_1855","Product_1846","Product_1859","General_remarks"
"PSUR0001","A la Bonheur",,63,58,71,"missing","complete","complete","complete",1830,"1862",,"23-8-1862","transferred to plantation Caledonia",,"divisie beneden Commewijne","divisie beneden Commewijne","indigo",,"before 1855 plantation fallen into disuse, 1859 enslaved people hired out in the city of Paramaribo"
"PSUR0002","Accaribo",,,79,178,"missing","missing","fragment","complete",1830,"1863",,,,,"divisie Para","divisie Para","sugar","sugar",
"PSUR0003","Adrichem Matappica",,,148,205,"missing","missing","complete","complete",1830,"1863",,,,,"divisie Matappica","divisie beneden Cottica","coffee","coffee",
"PSUR0004","Adrichem Para",,,67,82,"missing","missing","complete","complete",1830,"1863",,,,,"divisie Para","divisie Para","coffee","food",
"PSUR0005","Akkerboom",,,5,6,"missing","missing","complete","complete",1830,"1857",,,"transferred to plantation Lotland No 34","23-4-1857","divisie beneden Commewijne","divisie beneden Commewijne","coffee",,"1859  plantation fallen into disuse"
"PSUR0006","Albion",15,,,,"complete","non existent","non existent","non existent",1830,"1835",,,"transferred to private slave owners","24-10-1835","divisie Saramacca","divisie Saramacca",,,
"PSUR0007","Alderad",,,9,10,"missing","missing","complete","complete",1830,"1860",,,"transferred to plantation Alliance","9-10-1860","divisie Matappica","divisie beneden Cottica","cotton","sugar","1859 enslaved people work on plantation Lodewijksburg, afterwards on plantation Alliance"
"PSUR0008","Alkmaar",211,165,296,390,"complete","fragment","complete","complete",1830,"1863",,,,,"divisie beneden Commewijne","divisie beneden Commewijne","sugar","sugar",
"PSUR0009","Alkmaar ( voor het 1/2 aandeel aankomende den Boedel A. Ferrier )",,210,179,221,"non existent","complete","complete","complete",1842,"1863","transferred from plantation Alkmaar","7-1842",,,"divisie beneden Commewijne","divisie beneden Commewijne","sugar","sugar",
"PSUR0010","Alliance",,,,596,"non existent","non existent","non existent","complete",1860,"1863","transferred from plantations Lodwijksburg, Sporksgift, De Lemmert, Sophiaslust, Alderad, Waterloo and Bentshope","9-10-1860",,,"divisie beneden Cottica","divisie beneden Cottica",,"sugar","plantation exists since 1859"
