fid,id,label1930,type1930,remark1930,label1882,type1882,remark1882,X_coord,Y_coord
1,,Nieuw Amsterdam (Brits Guyana),,Brits Guyana,Nieuw Amsterdam (Brits Guyana),,,296900.149023536,688883.379336133
2,,Oreala (Brits Guyana),,Brits Guyana,Oreala (Brits Guyana),,,316355.826620839,588040.035029874
3,,Post Morakapoeri,,,,,,329831.044955401,583403.03374976
4,,Washabo,,,,,,325424.889113672,585305.99818474
5,,Olga,Astronomisch station,,De Hoop,,voormalige vestiging der Moravische broeders,321783.941658914,589727.290615897
6,,Springlands (Brits Guyana),,Brits Guyana,Eliza en Mary (Brits Guyana),,,339290.34631793,651942.900247286
7,,Skeldon (Brits Guyana),,Brits Guyana,Skeldon (Brits Guyana),,,338951.390185947,649855.734148707
8,,Nieuw Nickerie,District Commissaris,,Nieuw Nickerie,,,355145.981174143,657907.139054127
9,,Utrecht,Astronomisch station,,,,,389538.794719939,637187.362691833
10,,Handsome Wood,,,Handsome Wood,,,387235.279630967,610481.262451234
11,,,I,,,,,383544.368239461,591376.475180637
12,,,I,,Indianen,,,382911.051497413,594375.258092449
13,,Arrawarra md,Astronomisch station,,,,,414485.345339053,590409.32174117
14,,Burnside,,plantation,,,,419668.383244908,652783.992726103
15,,Coronie,District Commissaris,,,,,427509.628599042,651018.863249043
16,,Friendship,,plantation,,,,427598.882172736,650651.348533832
17,,Todness,,plantation,Dorp,,,428045.150041205,650556.844749921
18,,Mary's hope,,,RK Kerk,kerk,,429164.755421973,650227.425533525
19,,Hamilton,,plantation,,,,436167.225247352,648430.509611919
20,,Inverness,,plantation,,,,436694.819204579,648249.86688592
21,,,I,,Indiaansch dorp,,,437373.384210661,590141.64416931
22,,,I,,Indiaansch dorp,,,443608.398457332,589492.959673585
23,,,I,,Indiaansch dorp,,,449443.827238223,591023.77012459
24,,,I,,Indiaansch dorp,,,449192.958630425,591587.529002425
25,,Cornelis Kondre,I,,Indiaansch dorp,,,453892.63211475,595061.172645125
