fid;psur_id;psur_id2;psur_id3;label_1930;label_1860-79;qid;qid_alt;plantation_label;coords
1572;;;;Nieuw Java;Nieuw Java;Q59132846;;Nieuw Java;Polygon ((630194.67064825 647568.89398603, 629990.74923202 644063.69357956, 629753.1085265 643748.98021279, 629560.42687337 643498.49406372, 629277.82711545 643389.30779362, 629542.7643885 647665.23481259, 630194.67064825 647568.89398603))
1601;PSUR0041;;;Breedevoort;Breedevoort;Q59115309;;Breedevoort;Polygon ((585326.14922244 648259.21601988, 585508.98534736 650186.95594791, 586796.74106242 650642.96919364, 586614.8237928 648692.17192362, 587352.51662704 648640.74233479, 587309.23444836 648080.64169186, 585326.14922244 648259.21601988))
1602;;;;Nieuw Roland;Nieuw Roland;Q59132858;;Nieuw Roland;Polygon ((586796.74106242 650642.96919364, 587227.06342107 650851.7076512, 587650.96305795 651005.8529737, 588076.64157508 650948.04532019, 588395.99878338 650713.61913312, 588572.49266697 650472.84388194, 588426.67935636 648615.28292109, 587352.51662704 648640.74233479, 586614.8237928 648692.17192362, 586796.74106242 650642.96919364))
1603;;;;Moederzorg;Moederzorg;Q59119443;;Moederzorg;Polygon ((572423.56478087 580668.44510944, 573129.54850521 580317.90601167, 574308.8776016 579707.02782527, 574166.69437316 577382.45677818, 574066.35290463 576931.54744441, 569300.39699707 577230.55384034, 569325.05810337 577520.65346575, 569456.06698471 578009.73720963, 569772.7910847 578321.63985177, 570062.92264685 578658.60884135, 571185.3977018 579345.53429474, 571764.43659955 579816.10093542, 572122.89837218 580115.98424344, 572390.13320834 580481.00843721, 572423.56478087 580668.44510944))
1604;;;;Aan Reijnesburg;;Q59133134;Q59133136;Aan Reijnesburg;Polygon ((569272.7633588 577093.26831482, 569740.33612064 577068.06319881, 569685.00131328 576032.73182959, 569017.23153213 576057.77915651, 569152.28008989 576540.61589433, 569272.7633588 577093.26831482))
1605;;;;Aan Bergendaal;Aan Bergendaal;Q59115222;;Aan Bergendaal;Polygon ((568237.20568852 571755.69844609, 572147.89855791 571483.82164013, 572111.95751868 570772.28932049, 573418.96326366 570699.99345588, 573362.81540897 569760.81227922, 572808.51427492 569562.52947685, 572326.27414027 569299.4112984, 571939.0947982 569131.45011761, 571647.4344773 569124.74713837, 571405.47052475 569041.53420114, 570629.31155213 568808.75029715, 570146.05875522 568603.64750111, 569692.26372163 568373.2664218, 569457.01906128 568182.16480029, 569181.6510579 568257.95970404, 568810.22591264 568480.38462916, 568634.67708499 568748.14135258, 568540.88661665 568949.61993857, 568541.61066369 569462.25792683, 568478.73337292 570109.19621942, 568264.4676776 570563.27254809, 568242.91148212 571059.40133924, 568237.20568852 571755.69844609))
1606;;;;;;;;;Polygon ((568016.69307342 570870.15554135, 568039.11859252 570350.02756906, 568109.32495998 570151.05325224, 568246.76827459 569923.22259466, 568310.42358463 569430.50759419, 568318.08847249 569086.96510741, 565988.52449537 567781.70718081, 565608.18567751 567588.21522009, 564754.51166004 569088.15923772, 568016.69307342 570870.15554135))
1607;;;;Bigrar;Bigrar;Q59115248;;Bigrar;Polygon ((572623.91817925 589022.77534437, 572805.70713048 589312.90149105, 572927.16332346 589618.65783997, 575401.84134777 588440.63488703, 575082.15086632 587831.11868544, 574681.71548648 588024.32883341, 572623.91817925 589022.77534437))
1608;;;;Cadix;Cadix;Q59115347;;Cadix;Polygon ((575401.84134777 588440.63488703, 572927.16332346 589618.65783997, 573039.13659202 589894.2186978, 573214.60359364 590164.21451708, 576100.40334638 588749.76297676, 575830.80439541 588237.91270267, 575401.84134777 588440.63488703))
1609;;;;Non Panse;Non Panse;Q59132922;;Non Panse;Polygon ((573214.60359364 590164.21451708, 573380.87879048 590387.33661232, 573520.29414282 590619.9998559, 576357.52239767 589207.97618083, 576100.40334638 588749.76297676, 573214.60359364 590164.21451708))
1610;;;;Auca;Auca;Q59115172;Q124830989;Auca;Polygon ((576357.52239767 589207.97618083, 573520.29414282 590619.9998559, 573636.53464081 590842.24859222, 573744.3571278 591164.45027838, 573935.86189916 591471.42932979, 574151.35665986 591742.1238362, 574410.44772193 592000.23266731, 577295.20183959 590458.99803818, 576590.4965701 589100.43492865, 576357.52239767 589207.97618083))
1611;;;;Venetie;Venetie;Q59133982;;Venetie;Polygon ((571114.15066072 585291.05811257, 566764.37898055 587514.09329816, 567049.03207801 587645.85512637, 568371.57839751 587575.51369726, 569239.31230226 587563.96674577, 571327.20932334 586465.9457405, 571673.69211847 586305.16047558, 571114.15066072 585291.05811257))
1612;;;;;;;;;Polygon ((571327.20932334 586465.9457405, 569239.31230226 587563.96674577, 569634.62397646 587664.29349769, 571459.42936715 586728.51335554, 571327.20932334 586465.9457405))
1613;;;;;;;;;Polygon ((573747.11291768 586609.95353307, 570344.73066873 588272.28278236, 570527.17696587 588715.90689609, 570634.40033087 588881.2749686, 570883.70046618 588935.67646204, 571177.81960536 588907.44370179, 571889.6345966 588652.9354473, 574266.79284679 587518.25522942, 573747.11291768 586609.95353307))
