fid,label1930,main_body_water,label1882,alt_label,wkt_geometry
57,,Commewijne,,,"LineString (603296.37495304 629571.73088927, 602786.73767188 630093.19281083, 602457.3560707 630333.30493311, 602361.18972726 630715.20784255, 602174.20408657 630987.34186788)"
59,,Commewijne,,,"LineString (602174.20408657 630987.34186788, 601958.27431282 631269.53573023, 601748.0510831 631740.2888417, 601634.86996955 632046.78508227, 601389.76592049 632364.33844727)"
62,,Commewijne,,,"LineString (602888.19023853 637856.88524468, 602965.72101525 637940.45204894, 603076.92867228 638163.28025872, 603160.17904094 638251.74394227, 603506.09720681 638290.02255436, 603657.65438838 638473.21528788, 603744.49234295 638698.67966186, 604417.16801276 639105.49193804, 604490.20738207 639252.1659394, 604780.54811891 639343.96699534)"
63,,Commewijne,,,"LineString (603942.36832134 625898.96408934, 603802.61690463 625596.83971464, 603574.41445912 625251.5189642, 603373.3361612 625070.27312381, 603191.36481306 624967.15097916, 602818.76554863 624702.72253042)"
65,,Commewijne,,,"LineString (604111.9709599 661300.22761925, 603936.43230175 661090.52908242, 603813.80963826 660834.78879963, 603790.78354562 660537.77346764, 603721.02100934 660378.5768766)"
70,Mot Kreek,Cottica,Mot Kreek,,"LineString (607547.96956541 661210.28446358, 607753.31371047 660897.91099608, 607816.61744026 660595.95443914, 607873.26629335 660490.54930799, 607936.41306265 660012.87880643, 607932.10694717 659603.8944548, 607933.11891681 659580.15233539, 607992.2529211 659099.93641252, 608018.74415601 658436.13911602, 607998.15375598 658138.49198924, 608028.27290472 657882.89191924, 608040.47644868 657375.8031078, 608059.91258156 656954.68830709, 608064.36739328 656745.91662944, 608080.89368588 656255.97886965, 608086.98435356 656096.66356077, 608069.50391443 655886.46029787, 608029.35130638 655663.3726767, 608004.87944735 655443.97053572, 608016.7756138 655153.55020442, 608002.97099245 654788.08027344, 608035.2515698 654078.02300315, 608107.15927218 653710.73295948, 608184.12194398 653429.14632314, 608259.72382678 653255.9199442, 608337.00805119 653110.18321274, 608539.74280087 652669.80776992, 608652.68191294 652502.04010457, 608794.39827267 652300.46999697, 609021.62557607 651958.6910927, 609198.52375565 651534.55113342, 609236.498915 651178.66411682, 609221.53129709 650461.66275453, 609135.70632847 650134.33998792, 609090.67751901 649691.12681635, 609116.94509812 648992.6956925, 609019.77009608 648649.24926322, 608960.73524729 648212.89622986, 608922.13869549 648101.06713336)"
72,Bottels Kreek,Commewijne,De Bottels Kreek,,"LineString (609178.07580552 626281.07446742, 609196.23282701 626349.09663431, 609262.35850035 626624.29586064, 609364.55686766 626864.66009134, 609582.56096371 627119.94195377, 609842.61481243 627307.61234793, 610723.69089137 627874.88314068, 611061.75348466 628080.73840868, 611420.44777962 628402.95720376, 611509.75383973 628643.0963984, 611489.49160159 629065.09442315, 611407.01003156 629265.1583773, 611221.83008516 629918.02877471, 611055.96215146 630998.41053898, 611044.62146357 631278.70570256, 610827.3014685 631723.05654181, 610430.7656464 631941.40091984, 610218.58852802 632020.26548016, 610157.44410923 632156.25499315, 610174.20916042 632414.97763758, 610343.12171835 632728.33829952, 610615.36769856 632967.06798158)"
74,,Cottica,,,"LineString (609410.67626067 641353.98237004, 609145.24380485 641267.26658109, 608950.78265886 641099.52262018, 608830.61019969 640886.32258384)"
78,Cabbes Kreek,Commewijne,Cabbes Kreek,,"LineString (592270.10628813 653952.23684976, 591804.2950403 653717.61595315, 591623.87136654 653717.86521782, 591385.85764644 653678.07151322, 591228.65688335 653575.83945287, 591124.96221261 653498.4510883, 590845.7509334 653497.76879882, 590782.66774326 653417.67823692, 590581.56707558 653440.76649685, 590454.59387895 653394.57872618, 590282.96206452 653314.11605447, 590234.1335764 653212.24196502, 590125.32660488 653211.95476167, 590058.93819762 653321.21996178, 589915.58751206 653221.99600211, 589901.22562693 653298.84515764, 590011.9104724 653521.90276509, 590040.03433232 653757.74996164, 590006.89852645 653870.33718284, 590124.09199109 654113.86366207, 590119.68381491 654458.76100919, 590121.50041634 654539.39418821)"
84,,Commewijne,,,"LineString (591085.57663489 643343.593012, 591044.72603658 643129.91368876, 590980.21339383 642548.09280589, 590976.060953 642153.46439847, 590968.91486503 641862.35456261)"
