ID	Label	Title	Citation (MLA)	Licence	Makers	Year of publication	Publisher	Published (Location and other publication information)	Language	Remarks	Scans	Holding archive	Handle	IIIF manifest	IIIF Info URL	Allmaps Geo 1	Allmaps Geo 2
1	Nieuwe Kaart van Suriname, Comowini, Cottica & Marawini	16A401 "Nieuwe Kaart van Suriname, Comowini, Cottica & Marawini, ...".			Josua Ottens	1750					1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.TOPO/invnr/16A401/file/NL-HaNA_4.TOPO_16A401	-	https://service.archief.nl/iip/70/6a/ba/89/e6/7b/4d/09/a8/17/70/e6/7f/bc/fb/e9/cf8fbb84-5e14-4093-a253-4f82ed669d3e.jp2/info.json
2	Algemeene Kaart van de Colonie of Provintie van Suriname				Alexander de Lavaux	1758				Samengesteld uit zes aaneen gemonteerde vellen papier.  Vervaardigd door Alexander de Lavaux; gegraveerd en uitgegeven door Hendrik de Leth. Het noorden is onder. Met twee inzetten: [1] kaart van de noordkust van Zuid-Amerika, van de monding van de Berbice tot de monding van de Mahury River (het noorden is onder) en [2] 'Plan van de Stad Paramaribo': plattegrond van Paramaribo (het noorden is linksboven). Onder de kaart een naamlijst van plantage-eigenaren.  Referentie: vgl. Bubberman e.a. 1973, pl. 13; Koeman 1973, no. 11	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.HEK/invnr/MC749/file/NL-HaNA_4.HEK_MC749	-	https://service.archief.nl/iip/a9/99/ff/49/28/d5/4a/2f/85/e0/b9/0f/c9/85/d1/d8/8198ed36-ae50-4b4f-b086-ace8dd1c5c28.jp2/info.json
3	Carte de la Colonie de Surinam	 MC766 'Carte de la Colonie de Surinam, Situeé dans l'Amerique Meridionale en Terre ferme [...] Par Mr. A, de Lavaux': kaart van Suriname			anonymous, etched after a map by Alexander de Lavaux	1769				Anonieme ets naar de kaart van Alexander de Lavaux. Afkomstig uit het eerste deel van Philippe Fermins  Déscription Générale, Historique, Géographique et Physique de la Colonie de Surinam [...] van 1769. Het noorden is onder. De bij de kaart horende legenda ('Liste Générale') staat in Fermins boek opgenomen. In het Frans Referentie: Koeman 1973, no. 20.  Het boek door Fermin is geen deel van de collectie HEK.	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.HEK/invnr/MC766/file/NL-HaNA_4.HEK_MC766	-	https://service.archief.nl/iip/34/40/02/fc/a0/3b/4c/68/a4/e5/62/a6/5d/ca/a3/e7/00e773c6-a466-4bd3-8a61-d1bedbba4cee.jp2/info.json
4	Naadere kaart en rapport, specterende de nieuw te begeeven landeryen in de Marchals kreek en of dezelve tot nadeel konde strekken voor de Houtgrond Weltevreden C.A.	Naadere kaart en rapport, specterende de nieuw te begeeven landeryen in de Marchals kreek en of dezelve tot nadeel konde strekken voor de Houtgrond Weltevreden C.A. 1785. 			A.H. Helleday	1785				Gefacsimileerd in Grote Atlas van de West-Indische Compagnie deel II p. 301  Met aantekeningen.  Vervaardigd door A.H. Helleday . Gezw. Landm. Suriname.  Schaal van 400 Kettingen à 66 Rijnlandse voeten = 135 strepen.	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.VEL/invnr/1696/file/NL-HaNA_4.VEL_1696	-	https://service.archief.nl/iip/b6/7f/00/01/5b/a0/47/d1/8c/7a/b9/2f/3d/a0/9f/f4/cacd0f2a-2ad4-49ad-a3df-8c7ad8d559ee.jp2/info.json
5	Plaan van het hospitaal à Paramaribo in Surinamen	614 "Plaan van het hospitaal à Paramaribo in Surinamen."			J. H. Rothe	1793				Gefacsimileerd in Grote Atlas van de West-Indische Compagnie deel II p. 275  Achterop: "No.12, Register 17, deel 1, folio 88. Gemerkt Depôt des cartes, plans et journaux de la Marine."  Vervaardiging: Opgenomen in de maent Februarij 1793 door J.H. Rothe. Zie 609.  Schaal ± 1 : 480 of 40 Rijnl. voet op 1 duim.	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.VELH/invnr/614/file/NL-HaNA_4.VELH_614	-	https://service.archief.nl/iip/ed/a5/77/45/61/af/46/1c/9f/16/f0/34/64/34/85/a2/7251493c-319c-4776-bc59-ab7968775bb5.jp2/info.json
6	Generale kaart der kolonie Suriname in Zuid-Amerika [...]	 429 Generale kaart der kolonie Suriname in Zuid-Amerika, beginnende ten Oosten met de rivier Marowijne en eindigende ten Westen met de Duivelskreek, met alle de daarin uitgegeven gecultiveerde en verlatene landen, verder met aanwijzing van alle thans bezette posten, zoo voor de buiten- als binnenlandsche defensiën			J.H. Pohl	1840				Met cartouche. Kaart bevat verder plantagenamen en producten die verbouwd werden. Opgenomen en samengesteld door luitenant der artillerie Mabé in 1820. Getekend door J.H. Pohl.  Papier op linnen  Schaal van 2030 kettingen a 66 Rijnlandse voeten	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.MIKO/invnr/429/file/NL-HaNA_4.MIKO_429	-	https://service.archief.nl/iip/iipsrv?IIIF=8b/79/42/34/47/14/48/cc/82/90/e7/25/37/40/a2/1d/16a97a5d-b0f6-4ef8-a12b-c064f6536479.jp2/info.json
7	Kaart van Suriname met naamlijst der in ontginning zijnde plantages	1160 Kaart van Suriname met naamlijst der in ontginning zijnde plantages. Met inzet van Paramaribo			J. Kuyper, D. Heyse	ca. 1861	Vereeniging voor Suriname			Ontworpen en getekend door J. Kuyper. Gegraveerd door D. Heyse. Uitgave van de Vereeniging voor Suriname. Litho.  Schaal 1:800.000.	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.MIKO/invnr/1160/file/NL-HaNA_4.MIKO_1160	-	https://service.archief.nl/iip/80/ca/06/e1/02/9a/48/b3/a8/9d/f5/af/ac/f2/0b/67/67894bd7-d88f-4786-b0df-4b503a58c299.jp2/info.json
8	Kaart van Nw. Rotterdam met een gedeelte der Nickeriekust	 2272 Kaart van Nw. Rotterdam met een gedeelte der Nickeriekust. Met inzet: mond der rivier Corantijn			Jurriaanse en J.F.A. Cateau van Rosevelt	1872	Koloniaal Verslag			Opgenomen door de chef van het Bouwdepartement Jurriaanse en J.F.A. Cateau van Rosevelt in verband met de overstroming van de wijk Nieuw Rotterdam.  Behoort hij het rapport van 29 mei 1872 nr. 1 van de Commissie benoemd bij Gouv. Resolutie van 16 april 1872 nr. 4. Zie "Koloniaal Verslag van 1872. Suriname'. Bijlage 8 nr. 52.  Schaal 1:10.000.	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.MIKO/invnr/2272/file/NL-HaNA_4.MIKO_2272	-	https://service.archief.nl/iip/81/83/5c/4d/fd/9f/4f/66/89/05/41/6a/17/80/96/e4/ed961438-2172-4621-aaf2-f565b3cf6745.jp2/info.json
9	Paramaribo en omstreken	66 Paramaribo en omstreken			Luit. Boumeester	1907				Opgenomen/samengesteld: Luit. Boumeester  Schaal 1:25.000	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.HYDRO131/invnr/66/file/NL-HaNA_4.HYDRO131_66	-	https://service.archief.nl/iip/99/29/93/34/b9/23/45/39/bb/a3/85/69/20/b6/b8/38/17ca4350-4715-454d-8725-bb602e3edde5.jp2/info.json
10	Kaart van Suriname. Met inzet van Plantagen der Commewijne	2030 Kaart van Suriname. Met inzet van Plantagen der Commewijne				ca. 1911	Geograph. Anstalt von Wagner & Debes	Leipzig		Uitgave van Geograph. Anstalt von Wagner & Debes, Leipzig.  Kaart bevat missiegebied van evangelische zending en posten waar vanuit men opereerde.  Papier op linnen vastgezet  Schaal 1:1.040.000. Inzet schaal 1:390.000	1	Nationaal Archief	https://www.nationaalarchief.nl/onderzoeken/archief/4.MIKO/invnr/2030/file/NL-HaNA_4.MIKO_2030	-	https://service.archief.nl/iip/75/45/30/ce/54/d1/4f/0f/98/40/d4/1d/22/48/85/34/41278280-bba8-4113-8637-782bfbe4bfed.jp2/info.json
