qid;map_id;label_on_map;has_polygon
Q59132846;MAP_1930;Nieuw Java;true
Q59132846;MAP_1860-79;Nieuw Java;false
Q59115309;MAP_1930;Breedevoort;true
Q59115309;MAP_1860-79;Breedevoort;false
Q59132858;MAP_1930;Nieuw Roland;true
Q59132858;MAP_1860-79;Nieuw Roland;false
Q59119443;MAP_1930;Moederzorg;true
Q59119443;MAP_1860-79;Moederzorg;false
Q59133134;MAP_1930;Aan Reijnesburg;true
Q59115222;MAP_1930;Aan Bergendaal;true
Q59115222;MAP_1860-79;Aan Bergendaal;false
Q59115248;MAP_1930;Bigrar;true
Q59115248;MAP_1860-79;Bigrar;false
Q59115347;MAP_1930;Cadix;true
Q59115347;MAP_1860-79;Cadix;false
Q59132922;MAP_1930;Non Panse;true
Q59132922;MAP_1860-79;Non Panse;false
Q59115172;MAP_1930;Auca;true
Q59115172;MAP_1860-79;Auca;false
Q59133982;MAP_1930;Venetie;true
Q59133982;MAP_1860-79;Venetie;false
Q59115185;MAP_1930;Baboenhol;true
Q59115185;MAP_1860-79;Baboenhol;false
Q59116891;MAP_1930;La Providence;true
Q59116891;MAP_1860-79;La Providence;false
Q59132801;MAP_1930;Morea;true
Q59132801;MAP_1860-79;Morea;false
Q4392658;MAP_1930;Geijersvlijt;true
Q4392658;MAP_1860-79;Kl. Suzanna'sdal;false
Q59115470;MAP_1930;Morgenstond;true
Q59115470;MAP_1860-79;Morgenstond;false
Q15873942;MAP_1930;Clevia;true
Q15873942;MAP_1860-79;Clevia;false
Q59116947;MAP_1930;Leonsberg;true
Q59116947;MAP_1860-79;Leonsberg;false
Q59133121;MAP_1930;Rainville;true
Q59133121;MAP_1860-79;Rainville;false
Q131413971;MAP_1930;Elisabethshof;true
Q131413971;MAP_1860-79;Elisabethshof;false
Q124831607;MAP_1930;Mon Plaisir;true
Q124831607;MAP_1860-79;Mon Plaisir;false
Q59115484;MAP_1930;De Twee Kinderen;true
Q59116910;MAP_1930;Tourtonne;true
Q59116910;MAP_1860-79;Tourtonne;false
Q124831360;MAP_1930;Ma Retraite;true
Q124831360;MAP_1860-79;Ma Retraite;false
Q59115646;MAP_1930;Combe;true
Q59115646;MAP_1860-79;Combe;false
Q819296;MAP_1930;Bergendaal;true
Q819296;MAP_1860-79;Bergendaal;false
Q819296;MAP_1930;Bergendaal;true
Q819296;MAP_1860-79;Bergendaal;false
Q14514754;MAP_1930;Victoria;true
Q14514754;MAP_1860-79;Victoria;false
Q2280245;MAP_1930;A la bonne heure;true
Q2280245;MAP_1860-79;A la bonne heure;false
Q59132916;MAP_1930;Nijd en Spijt;true
Q59132916;MAP_1860-79;Nijd en Spijt;false
Q3255483;MAP_1930;Alkmaar;true
Q3255483;MAP_1860-79;Alkmaar;false
Q2608628;MAP_1930;Zorgvliet;true
Q2608628;MAP_1860-79;Zorgvliet;false
Q15873942;MAP_1930;Clevia;true
Q15873942;MAP_1860-79;Clevia;false
Q15882536;MAP_1930;Susanna'sdaal;true
Q15882536;MAP_1860-79;Susanna'sdaal;false
Q15883580;MAP_1930;Voorburg;true
Q15883580;MAP_1860-79;Voorburg;false
